,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,undp_hdi_lost_data,gle_cgdpc_lost_data,imf_pop_lost_data,wef_imort_lost_data,who_alc2000_lost_data,who_tobt_lost_data,wdi_exph_lost_data
127,NOR,WesternDem,57634.77,0.94800001,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152,False,False,False,False,False,False,False
72,HTI,LatAm,1024.9399,0.49000001,,56.5,5.6799998,11.8,7.555654048919678,False,False,True,False,False,False,False
115,MAR,NorthAfrica,3999.5601,0.64499998,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041,False,False,False,False,False,False,False
119,NRU,Pacific,3130.47,,0.0120000001043081,,,48.900002,3.32664942741394,True,False,False,True,True,False,False
29,CMR,SubSaharian,2658.51,0.514,,61.099998474121094,6.1900001,18.799999,4.1036715507507315,False,False,True,False,False,False,False
172,TGO,SubSaharian,1036.28,0.484,6.928999900817871,,1.4400001,,5.2468767166137695,False,False,False,True,False,True,False
110,MEX,LatAm,13609.42,0.75800002,119.7129974365234,13.899999618530268,5.2600002,14.5,6.2964210510253915,False,False,False,False,False,False,False
109,MUS,SubSaharian,10944.54,0.77899998,1.261000037193298,13.0,3.03,21.9,4.809544563293457,False,False,False,False,False,False,False
144,RWA,SubSaharian,1440.39,0.493,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826,False,False,False,False,False,True,False
166,SWZ,SubSaharian,4110.0498,0.54100001,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957,False,False,False,False,False,False,False
173,TON,Pacific,3962.0601,0.71799999,0.1040000021457672,,0.95999998,30.200001,5.1767706871032715,False,False,False,True,False,False,False
182,MKD,EastEurope,9610.5996,0.74599999,2.069000005722046,6.5,1.13,,6.476374626159668,False,False,False,False,False,True,False
158,SVN,EastEurope,24456.561,0.88800001,2.0610001087188716,2.5,10.46,20.9,9.23388671875,False,False,False,False,False,False,False
42,CRI,LatAm,9485.71,0.77499998,,8.600000381469728,3.45,14.2,9.313112258911133,False,False,True,False,False,False,False
6,AZE,EastEurope,9793.3096,0.75800002,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367,False,False,False,False,False,False,False
63,GMB,SubSaharian,1601.88,0.44999999,,49.20000076293945,3.4100001000000004,,7.340400695800781,False,False,True,False,False,True,False
68,GRD,Caribbean,8314.5596,0.75099999,,,8.4200001,,6.09761381149292,False,False,True,True,False,True,False
45,CYP,NorthAfrica,27207.07,0.85399997,0.8579999804496765,2.5,9.04,,7.367611408233643,False,False,False,False,False,True,False
133,PNG,Pacific,1693.54,0.51499999,6.880000114440918,,0.88,,4.263570785522462,False,False,False,True,False,True,False
73,HND,LatAm,3303.1399,0.62300003,,19.39999961853027,2.8699999,18.9,8.72268009185791,False,False,True,False,False,False,False
56,EST,EastEurope,19768.039,0.86299998,1.315999984741211,2.9000000953674316,,33.200001,6.379294395446777,False,False,False,False,True,False,False
18,BIH,EastEurope,8507.6504,0.74699998,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102,False,False,False,False,False,False,False
9,AUT,WesternDem,38868.039,0.89200002,8.543999671936035,3.2999999523162837,12.32,,11.20547294616699,False,False,False,False,False,True,False
41,COD,SubSaharian,324.16,0.42500001,,74.5,1.8200001000000001,,4.328233718872069,False,False,True,False,False,True,False
40,COG,SubSaharian,2369.8401,0.58999997,,,3.8199998999999996,18.5,5.151411533355713,False,False,True,True,False,False,False
