,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region
116,0.414,MOZ,4,852.39001,25.73299980163574,63.099998474121094,1.16,18.799999,6.975581645965576,SubSaharian
153,0.78100002,SYC,4,9583.3203,0.0900000035762787,11.199999809265142,9.7200003,26.700001,3.369816780090332,SubSaharian
23,0.86400002,BRN,7,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,SouthEastAsia
181,0.74800003,UKR,1,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916,EastEurope
68,0.75099999,GRD,10,8314.5596,,,8.4200001,,6.09761381149292,Car
114,0.80400002,MNE,1,14538.52,0.621999979019165,5.5,6.559999900000001,,6.416542530059815,EastEurope
7,0.82599998,ARG,2,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176,LatAm
102,0.51099998,MDG,4,822.62,,40.900001525878906,0.87,,3.041355133056641,SubSaharian
27,0.79799998,BLR,1,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565,EastEurope
127,0.94800001,NOR,5,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152,WesternDem
185,0.51899999,TZA,4,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498,SubSaharian
103,0.47299999,MWI,4,938.3499800000001,17.60400009155273,46.0,1.23,16.299999,11.37795639038086,SubSaharian
53,0.58200002,GNQ,4,15412.43,,,10.72,,3.8040790557861333,SubSaharian
109,0.77899998,MUS,4,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457,SubSaharian
25,0.55199999,MMR,7,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288,SouthEastAsia
149,0.565,STP,4,2150.55,,,5.6900001,,8.353466033935549,SubSaharian
34,0.39399999,TCD,4,1651.05,,89.4000015258789,0.63999999,,3.6211643218994136,SubSaharian
63,0.44999999,GMB,4,1601.88,,49.20000076293945,3.4100001000000004,,7.340400695800781,SubSaharian
119,,NRU,9,3130.47,0.0120000001043081,,,48.900002,3.32664942741394,Pacific
76,0.61500001,IND,8,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809,SouthAsia
171,0.73799998,THA,7,9295.5703,68.65699768066406,11.399999618530268,6.4099998,21.5,4.122164249420166,SouthEastAsia
137,0.852,POL,1,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.3502464294433585,EastEurope
128,0.63700002,FSM,9,2624.05,0.1019999980926514,,1.58,,13.7069149017334,Pacific
42,0.77499998,CRI,2,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133,LatAm
91,0.79900002,KWT,3,64342.710999999996,3.999000072479248,9.5,0.02,,3.042368412017822,NorthAfrica
150,0.84500003,SAU,3,20872.711,30.770000457763672,7.4000000953674325,0.09000000400000001,17.1,4.684084892272949,NorthAfrica
118,0.63700002,NAM,4,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406,SubSaharian
129,,MHL,9,2833.97,0.0540000014007092,,,,17.13572311401367,Pacific
106,0.43799999,MLI,4,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121,SubSaharian
167,0.90899998,SWE,5,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063,WesternDem
120,0.55500001,NPL,8,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.7972259521484375,SouthAsia
146,0.73500001,LCA,10,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662,Car
59,0.89399999,FRA,5,34007.898,64.02799987792969,3.4000000953674316,11.5,28.1,11.53951930999756,WesternDem
165,0.72299999,SUR,10,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259032,Car
37,,TWN,6,33965.871,23.43400001525879,3.9345641136169434,,,,EastAsia
84,0.72899997,JAM,10,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918,Car
192,0.49900001,YEM,3,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018,NorthAfrica
78,0.77399999,IRN,3,12889.28,75.1500015258789,15.100000381469732,0.029999999,11.7,6.8949222564697275,NorthAfrica
155,0.92400002,SGP,7,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225,SouthEastAsia
122,0.59799999,VUT,9,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563,Pacific
126,0.52499998,NGA,4,2246.8201,160.3419952392578,77.80000305175781,8.300000200000001,8.8999996,3.668798446655273,SubSaharian
0,0.479,AFG,8,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094,SouthAsia
1,0.76200002,ALB,1,8516.7002,,15.0,4.5100002,29.700001,5.883105278015138,EastEurope
193,0.57599998,ZMB,4,1916.79,,56.400001525878906,2.4100001,15.9,4.986764907836914,SubSaharian
154,0.43099999,SLE,4,979.9500099999999,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333,SubSaharian
96,0.82800001,LVA,1,16583.67,2.000999927520752,7.5999999046325675,10.37,35.900002,5.880693435668945,EastEurope
29,0.514,CMR,4,2658.51,,61.099998474121094,6.1900001,18.799999,4.1036715507507315,SubSaharian
133,0.51499999,PNG,9,1693.54,6.880000114440918,,0.88,,4.263570785522462,Pacific
132,0.78500003,PAN,2,15137.04,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426,LatAm
19,0.69800001,BWA,4,12770.73,,41.0,5.7600002,,5.412002563476563,SubSaharian
79,0.64899999,IRQ,3,4178.2598,32.57799911499023,,0.17,,5.538873195648193,NorthAfrica
32,0.34700000000000003,CAF,4,690.03998,,,1.66,,4.2002220153808585,SubSaharian
80,0.92000002,IRL,5,46422.07,4.620999813079834,3.4000000953674316,10.75,23.200001,7.783196449279785,WesternDem
85,0.90200001,JPN,6,36123.77,127.12000274658199,2.200000047683716,7.5500002,22.799999,10.22874450683594,EastAsia
56,0.86299998,EST,1,19768.039,1.315999984741211,2.9000000953674316,,33.200001,6.379294395446777,EastEurope
67,0.86500001,GRC,5,25295.27,10.927000045776369,4.099999904632568,7.530000200000001,43.400002,8.084266662597656,WesternDem
191,0.70200002,WSM,9,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961,Pacific
90,0.89899999,KOR,6,33181.891,50.74700164794922,3.2999999523162837,9.3299999,27.4,7.373112678527832,EastAsia
71,0.63800001,GUY,10,2042.8199,0.7559999823570251,29.0,7.639999900000001,,5.247803688049316,Car
70,0.414,GIN,4,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436,SubSaharian
125,0.35100001,NER,4,644.53998,,,0.15000001,8.3999996,5.821299076080322,SubSaharian
77,0.68599999,IDN,7,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438,SouthEastAsia
12,0.57499999,BGD,8,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.8189985752105713,SouthAsia
135,0.73699999,PER,2,9227.1504,30.80900001525879,14.100000381469732,5.380000099999999,,5.473034858703613,LatAm
95,0.495,LSO,4,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,SubSaharian
144,0.493,RWA,4,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826,SubSaharian
168,0.93800002,CHE,5,50454.41,8.140000343322754,3.7000000476837163,9.6099997,24.1,11.659268379211431,WesternDem
101,0.89600003,LUX,5,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872,WesternDem
61,0.69400001,GAB,4,14525.28,,42.400001525878906,8.8599997,,3.437471628189087,SubSaharian
60,0.47,DJI,4,2685.5,,,0.38,,10.56825637817383,SubSaharian
172,0.484,TGO,4,1036.28,6.928999900817871,,1.4400001,,5.2468767166137695,SubSaharian
20,0.75400001,BRA,2,9815.2402,202.7689971923828,12.899999618530268,7.320000200000001,16.1,8.322834014892576,LatAm
35,0.84500003,CHL,2,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718,LatAm
74,0.83399999,HUN,1,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675,EastEurope
97,0.42699999,LBR,4,488.26999000000006,,53.599998474121094,3.72,14.2,10.036333084106449,SubSaharian
104,0.787,MYS,7,12284.27,30.70899963378906,7.300000190734862,0.51999998,22.299999,4.169077873229981,SouthEastAsia
105,0.70099998,MDV,8,13349.76,0.335999995470047,,1.92,,13.7335205078125,SouthAsia
22,0.514,SLB,9,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334,Pacific
39,0.498,COM,4,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927003,SubSaharian
99,0.91100001,LIE,5,102243.52,,,,,,WesternDem
121,0.92299998,NLD,5,42258.352,16.86499977111816,3.4000000953674316,8.680000300000001,25.700001,10.89729309082031,WesternDem
18,0.74699998,BIH,1,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102,EastEurope
88,0.55000001,KEN,4,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.7202911376953125,SubSaharian
75,0.91900003,ISL,5,31313.609,0.3289999961853027,1.7999999523162842,7.4499998,17.5,8.859166145324707,WesternDem
175,0.83600003,ARE,3,20310.109,,7.199999809265138,1.91,,3.643985748291016,NorthAfrica
100,0.84600002,LTU,1,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880128,EastEurope
4,0.53100002,AGO,4,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959,SubSaharian
142,0.79799998,ROU,1,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465,EastEurope
177,0.764,TUR,3,16900.711,77.69599914550781,12.199999809265142,1.45,27.0,5.41495943069458,NorthAfrica
189,0.69700003,UZB,1,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461,EastEurope
147,0.72000003,VCT,10,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336,Car
14,0.79400003,BRB,10,22888.971,0.2790000140666962,16.89999961853027,8.819999699999999,7.0,7.4693031311035165,Car
6,0.75800002,AZE,1,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367,EastEurope
82,0.88099998,ITA,5,32931.672,60.78300094604492,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283,WesternDem
17,0.6709999999999999,BOL,2,4023.8701,10.07800006866455,32.799999237060554,3.6199999,,6.334827423095702,LatAm
28,0.55800003,KHM,7,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697,SouthEastAsia
143,0.80500001,RUS,1,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799,EastEurope
